%steal,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,2.91,0.0,2.0,3.85,1.01,0.0,0.0,0.0,1.01,0.0,0.98,0.0,1.0,0.0,0.0,0.0,3.03,2.0,1.98,1.02,0.0,0.99,1.0,0.0,0.0,1.01,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,1.01,0.0,0.98,0.0,1.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.99,1.0,1.01,0.99,0.0,1.0,0.0,1.0,0.99,1.98,0.0,0.99,0.0,1.96,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.98,0.0,1.0,0.0,1.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,1.01
1,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,1.01,0.0,1.0,0.0,0.98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.94,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,1.98,0.0,1.98,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,1.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.99,1.0,0.0,0.0,3.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.99,0.0,1.0,0.0,0.99,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,1.94,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,1.98,0.0,1.0,1.0,1.98,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.98,0.0,0.0,1.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,1.0,1.98,0.99,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,1.96,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.99,2.94,0.0,0.0,0.99,2.0,2.94,0.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,1.0,1.01,2.91,0.0,0.99,0.0,1.98,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,6.86,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.99,0.0,0.0,0.0,2.94,0.0,0.0,1.0,1.02,0.0,0.0,1.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,2.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,2.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,1.01,0.0,0.0,1.0,1.01,0.0,0.0,1.01,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0
6,0.99,0.99,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.98,0.0,1.98,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,2.0,0.0,1.01,1.01,0.0,0.0,1.0,0.0,1.0,1.01,0.0,2.0,1.01,0.0,1.0,1.01,0.0,0.0,1.0,0.0,1.98,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.99,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.99,0.0,1.01,0.99
7,0.0,0.0,1.01,0.0,0.0,1.01,0.99,3.85,0.0,1.01,1.0,0.0,0.0,0.0,0.0,1.96,1.96,0.0,2.02,1.0,0.0,1.01,0.0,0.99,0.0,1.0,0.99,1.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,1.02,0.0,2.94,1.02,1.0,0.0,1.01,0.0,1.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.99,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.02,1.98,1.98,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.01,1.0,1.0,2.91,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,1.01,0.0,1.0,0.0,1.01,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,1.01,0.0,1.0,0.0,0.0,0.0
8,1.0,1.0,0.0,1.01,0.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,3.96,0.0,2.0,0.0,0.98,1.01,0.0,2.97,3.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.99,0.0,1.0,1.0,0.99,1.98,0.0,1.0,2.0,0.99,0.0,0.0,0.0,2.02,2.0,0.99,0.0,0.0,0.0,1.0,2.0,1.01,0.0,0.0,1.0,0.99,0.0,1.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.99,0.0,1.01,0.0,1.98,1.01,0.98,0.0,0.99,0.0,0.99,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.99,0.99,0.0,1.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.99
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.01,1.0,0.0,0.0,1.01,0.0,0.99,1.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01
